username,userid,profile_location,created_at,text,retweet_count,source,coordinates
SlideME Market,20660763,"Seattle, USA",2023-01-24 16:08:08,"Thanks to the internet, there are about 1,001 ways to learn about any trade. Some of these means can lead to actual… https://t.co/VcH3m2w0Kn",0,Publer.io,
TMJ-WAT Intern Jobs,154424771,"Tacoma, WA",2023-01-24 16:07:01,"Interested in a job in #Bellevue, WA? This could be a great fit. Click the link in our bio to apply: Short-Term Cus… https://t.co/hxxkfSTQay",0,CareerArc 2.0,"{'type': 'Point', 'coordinates': [-122.147935, 47.5851956]}"
john speranza,14620321,"Seattle, WA",2023-01-24 16:06:17,"Dreamt once again that I needed to take one more class to get my degree, but this time it was a happy dream because… https://t.co/tXcEi7tVI5",0,Twitter Web App,
Scott Eklund,149020323,Seattle,2023-01-24 16:04:08,"Dawgman Recruiting Blog - Updates From The Recruiting Trail, Coaches On The Road @KimGrinolds @Chris_Fetters… https://t.co/nWoEkczPey",5,Twitter for iPhone,
BREAKFAST ALL DAY Food Truck,1356419267558731781,"Seattle, WA",2023-01-24 16:03:20,"🗓 Today (1/24) from 🕓 9am-1pm
📍 Highline College Food Truck Schedule (2400 S 240th St, 98198)

Follow us on StreetF… https://t.co/9rfwDlIo9k",0,StreetFoodFinder.com,
Devilish,877861808442417153,"Seattle, WA",2023-01-24 15:52:02,@RespectfulMemes I didn’t read this right and thought the kid was going to college too 😭.,0,Twitter for iPhone,
Jonas Dora,885388914424508422,Seattle,2023-01-24 15:47:43,"@ashleylwatts Very high certainty in college student samples, high certainty in regularly drinking community sample… https://t.co/hFeGTYwUVN",0,Twitter for iPhone,
Lauren E. McGowan | She / Her / Hers,25067967,"Seattle, WA",2023-01-24 15:39:07,"Half of WA college students face food or housing insecurity, survey finds. 

The good news is that #waleg has the o… https://t.co/BQlDf6y2CI",4,Twitter Web App,
William Nelson,598561912,"Seattle, WA",2023-01-24 15:31:28,Gators' 2023 quarterback status one of biggest stories to follow #notalone #issues https://t.co/65ImY9F3tM,0,RSS Masher - Dev,
juanos,1428244814,Seattle,2023-01-24 15:19:03,@Longhornfrenzy1 I love how the camps are what makes a player a great college player /s,0,Twitter Web App,
William Nelson,598561912,"Seattle, WA",2023-01-24 14:30:48,The Athletic looks at Florida's transfer portal movement 👀 #theathletic #transferportal https://t.co/1vuu061Y0r,0,RSS Masher - Dev,
The Interview Guys,1253352756,Seattle,2023-01-24 14:03:44,"Ah, college interview questions. For many aspiring college students, the idea of participating in a college intervi… https://t.co/twf6YazWiz",0,Hootsuite Inc.,
William Nelson,598561912,"Seattle, WA",2023-01-24 13:15:09,Gators land double-digit players in ESPN's final 2023 Top 300 rankings 🔺 #finalranking #gators https://t.co/3bkx2ObYBH,0,RSS Masher - Dev,
milly 🍄,1326532146236960768,somewhere at sea,2023-01-24 13:06:31,@babyv02 My college roommate did this and I still think about it a lot 😂she wanted me to go to Target with her to buy hookers…,0,Twitter for iPhone,
SeattlePD Nora3,743524081,"Seattle, WA",2023-01-24 12:44:01,"Beat: N3, PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY at 100XX BLOCK OF COLLEGE WY N reported on 1/24/2023 4:32 AM, Call# 23000022484",0,SPD Beat N3,
James Donaldson,18369566,Seattle,2023-01-24 12:26:42,The deadline for college football players across the country to declare for the 2023 NFL Draft has come and gone. I… https://t.co/B3iwqQf0B9,0,Blog2Social APP,
William Nelson,598561912,"Seattle, WA",2023-01-24 12:09:40,Jaden Rashada visited Arizona State over the weekend #theweekend #arizonastate https://t.co/rASA0s8ek2,0,RSS Masher - Dev,
